Host Id;Host Since;mes;aniomes;anio;Name;Neighbourhood;Property Type;Review Scores Rating (bin);Room Type;Zipcode;Beds;Number of Records;Number Of Reviews;Price;Review Scores Rating;AA;AB;AC;AD;AE;AF;AG;cant
11079245;06/01/2014;1;201401;2014;Cool New 2br Apt - 1block from L&M;Brooklyn;Apartment;100;Entire home/apt;11385;1;1;2;120;100;;;;;;;;1
11081810;06/01/2014;1;201401;2014;Designer's Large 1BR in Chelsea;Manhattan;Apartment;;Entire home/apt;10001;2;1;0;350;;;;;;;;;1
11080632;06/01/2014;1;201401;2014;Charming & Beautiful Manhattan Apt;Manhattan;Apartment;90;Entire home/apt;10010;1;1;5;175;90;;;;;;;;1
11055472;06/01/2014;1;201401;2014;Midtown West Best Home Stay;Manhattan;Apartment;45;Entire home/apt;10019;1;1;2;169;49;;;;;;;;1
11055472;06/01/2014;1;201401;2014;Stay like home in West Midtown;Manhattan;Apartment;80;Entire home/apt;10019;1;1;1;169;80;;;;;;;;1
11068935;06/01/2014;1;201401;2014;Upper West Side one bedroom;Manhattan;Apartment;80;Entire home/apt;10023;1;1;1;145;80;;;;;;;;1
11065910;06/01/2014;1;201401;2014;Sunny One bedroom Apartment/balcony;Manhattan;Apartment;95;Entire home/apt;10024;2;1;14;200;95;;;;;;;;1
11063707;06/01/2014;1;201401;2014;Super Bowl Condo 2 bedroom 2 bath;Manhattan;Apartment;;Entire home/apt;10025;2;1;0;1.000;;;;;;;;;1
11066509;06/01/2014;1;201401;2014;Cozy 1- BR apt next to Columbia;Manhattan;Apartment;;Entire home/apt;10027;2;1;0;85;;;;;;;;;1
11077437;06/01/2014;1;201401;2014;Spacious 1 bedroom in Bushwick!;Brooklyn;Apartment;95;Private room;11207;1;1;4;65;95;;;;;;;;1
11064558;06/01/2014;1;201401;2014;Bed-Stuy; Brooklyn: Private Room;Brooklyn;Apartment;;Private room;11216;1;1;0;50;;;;;;;;1
11068937;06/01/2014;1;201401;2014;Sunny room w/ Private Bath&Balcony!;Brooklyn;Apartment;95;Private room;11222;1;1;6;90;97;;;;;;;;1
11066377;06/01/2014;1;201401;2014;Huge Beautiful Apt Next to Park;Brooklyn;Apartment;;Private room;11225;1;1;0;200;;;;;;;;;1
11073109;06/01/2014;1;201401;2014;Beautiful Sunny Huge Bedroom w/ AC;Brooklyn;Apartment;90;Private room;11238;2;1;3;95;93;;;;;;;;1
11065009;06/01/2014;1;201401;2014;Boerum Brownstone BY ALL TRAINS!;Brooklyn;Bed & Breakfast;;Private room;11217;1;1;0;80;;;;;;;;;1
11065009;06/01/2014;1;201401;2014;Heart of Boerum Hill Brownstone B&B;Brooklyn;Bed & Breakfast;90;Private room;11217;1;1;10;80;90;;;;;;;;1
11065009;06/01/2014;1;201401;2014;Room 2 of 3 Brownstone CLose to All;Brooklyn;Bed & Breakfast;100;Private room;11217;1;1;1;70;100;;;;;;;;1
11065009;06/01/2014;1;201401;2014;HEART of Brooklyn B&B Room 3/3;Brooklyn;House;80;Private room;11217;4;1;2;65;80;;;;;;;;1
11056391;06/01/2014;1;201401;2014;Clean; comfy & bright with a piano;Manhattan;Apartment;80;Private room;10002;1;1;1;99;80;;;;;;;1
11071605;06/01/2014;1;201401;2014;Big + Comfortable BR in Midtown!;Manhattan;Apartment;100;Private room;10017;1;1;8;135;100;;;;;;;;1
11055472;06/01/2014;1;201401;2014;Best Value Midtown West;Manhattan;Apartment;85;Private room;10019;1;1;17;99;87;;;;;;;;1
11055472;06/01/2014;1;201401;2014;Comfortable bedroom in Midtown;Manhattan;Apartment;85;Private room;10019;1;1;7;99;88;;;;;;;;1
11070320;06/01/2014;1;201401;2014;Historical Harlem @ express train!;Manhattan;Apartment;95;Private room;10027;1;1;37;110;98;;;;;;;;1
11081099;06/01/2014;1;201401;2014;Private Room in Comfy NYC Apt!;Manhattan;Apartment;20;Private room;10031;1;1;1;50;20;;;;;;;;1
11071244;06/01/2014;1;201401;2014;COZY HOME; BEST LOCAL ACCESS!;Queens;Apartment;100;Private room;11103;1;1;6;76;100;;;;;;;1
11105213;07/01/2014;1;201401;2014;Very Spacious 1br Sunny w/ Backyard;Brooklyn;Apartment;80;Entire home/apt;11211;1;1;6;210;80;;;;;;;;1
11083378;07/01/2014;1;201401;2014;HUGE 1 BR - looks out at trees!;Brooklyn;Apartment;90;Entire home/apt;11226;1;1;18;138;93;;;;;;;;1
11105949;07/01/2014;1;201401;2014;Cozy & Clean in Williamsburg;Brooklyn;Apartment;100;Entire home/apt;11249;1;1;6;179;100;;;;;;;;1
11106339;07/01/2014;1;201401;2014;QUEEN+FULL Bed in Spacious Loft;Brooklyn;Loft;100;Entire home/apt;11237;2;1;10;200;100;;;;;;;;1
11094296;07/01/2014;1;201401;2014;Great Soho Appt for Super Bowl Week;Manhattan;Apartment;;Entire home/apt;10012;2;1;0;600;;;;;;;;;1
11108775;07/01/2014;1;201401;2014;Gorgeous 2bdrm West Village Apt;Manhattan;Apartment;;Entire home/apt;10014;2;1;0;2.000;;;;;;;;;1
11084962;07/01/2014;1;201401;2014;2 Bed Penthouse in Heart of NYC;Manhattan;Apartment;;Entire home/apt;10019;2;1;0;400;;;;;;;;;1
11093477;07/01/2014;1;201401;2014;10 min ride to Times SQ; Sleeps 7!;Manhattan;Apartment;75;Entire home/apt;10029;3;1;38;195;79;;;;;;;1
11093477;07/01/2014;1;201401;2014;10 min train to Times Sq. Sleeps 5!;Manhattan;Apartment;75;Entire home/apt;10029;2;1;11;200;76;;;;;;;;1
11093477;07/01/2014;1;201401;2014;10 mins train to Times SQ! Sleeps 7;Manhattan;Apartment;80;Entire home/apt;10029;2;1;33;220;80;;;;;;;;1
11098420;07/01/2014;1;201401;2014;New York City Like Never Before ! !;Manhattan;Apartment;90;Entire home/apt;10075;1;1;31;130;91;;;;;;;;1
11102615;07/01/2014;1;201401;2014;Exclusive Superbowl weekend!;Staten Island;House;;Entire home/apt;10302;4;1;0;1.500;;;;;;;;;1
11085990;07/01/2014;1;201401;2014;Perfect Space in Bronx Apt;Bronx;Apartment;;Private room;10468;2;1;0;95;;;;;;;;;1
11091997;07/01/2014;1;201401;2014;Zimmer in Brooklyn Crown Heights;Brooklyn;Apartment;;Private room;11213;1;1;0;52;;;;;;;;;1
11107448;07/01/2014;1;201401;2014;Large Sunny Room in Williamsburg!;Brooklyn;Apartment;;Private room;11222;1;1;0;60;;;;;;;;;1
11090576;07/01/2014;1;201401;2014;Roommates Wanted: 2 ROOMS & 1 BATH;Manhattan;Apartment;90;Private room;10009;2;1;11;235;90;;;;;;;;1
11092277;07/01/2014;1;201401;2014;Private Loft Room in Alphabet City;Manhattan;Apartment;;Private room;10009;1;1;0;150;;;;;;;;;1
11084962;07/01/2014;1;201401;2014;Luxury Penthouse in Heart of NYC;Manhattan;Apartment;100;Private room;10019;1;1;3;165;100;;;;;;;;1
11102249;07/01/2014;1;201401;2014;Cute Apartment in Great Location!;Manhattan;Apartment;85;Private room;10019;1;1;9;125;89;;;;;;;;1
11082586;07/01/2014;1;201401;2014;Room in Wash Heights; Manhattan;Manhattan;Apartment;;Private room;10032;1;1;0;55;;;;;;;;1
11107708;07/01/2014;1;201401;2014;Your Zen Getaway;Manhattan;Apartment;90;Private room;10034;1;1;18;69;92;;;;;;;;1
11106339;07/01/2014;1;201401;2014;FULL Sized Bed in Quiet Loft;Brooklyn;Loft;90;Shared room;11237;1;1;3;95;93;;;;;;;;1
11129295;08/01/2014;1;201401;2014;Clean and Sunny Brooklyn apt!!;Brooklyn;Apartment;;Entire home/apt;11237;2;1;0;98;;;;;;;;;1
11123873;08/01/2014;1;201401;2014;Entire Williamsburg 1 Bedroom Apt.;Brooklyn;Apartment;90;Entire home/apt;11249;1;1;6;160;93;;;;;;;;1
11131539;08/01/2014;1;201401;2014;Cozy 1bed in the Heart of Chelsea!!;Manhattan;Apartment;;Entire home/apt;10011;1;1;0;250;;;;;;;;;1
11136523;08/01/2014;1;201401;2014;1 bedroom in the heart of Nolita;Manhattan;Apartment;60;Entire home/apt;10012;1;1;1;250;60;;;;;;;;1
11134859;08/01/2014;1;201401;2014;Cozy Soho Apartment;Manhattan;Apartment;75;Entire home/apt;10013;1;1;11;175;78;;;;;;;;1
11122188;08/01/2014;1;201401;2014;Lovely 1 bedroom in West Village;Manhattan;Apartment;;Entire home/apt;10014;1;1;1;200;;;;;;;;;1
11132969;08/01/2014;1;201401;2014;Perfect West Village 1 bedroom;Manhattan;Apartment;100;Entire home/apt;10014;1;1;4;206;100;;;;;;;;1
11130276;08/01/2014;1;201401;2014;2 bedroom apartment in Midtown;Manhattan;Apartment;;Entire home/apt;10016;3;1;0;250;;;;;;;;;1
11122784;08/01/2014;1;201401;2014;Apt 3BR; UWS; near Central Park;Manhattan;Apartment;90;Entire home/apt;10023;3;1;3;300;93;;;;;;1
11128943;08/01/2014;1;201401;2014;Lovely UWS-Central Park Brownstone!;Manhattan;Apartment;90;Entire home/apt;10025;1;1;8;200;93;;;;;;;;1
11130668;08/01/2014;1;201401;2014;1 bedroom Apartment in Times Square;Manhattan;Apartment;;Entire home/apt;10036;1;1;0;500;;;;;;;;;1
11130498;08/01/2014;1;201401;2014;SUPERBOWL WKND LUXURY 2 BR APT!!!;Manhattan;Apartment;;Entire home/apt;10065;2;1;0;1.000;;;;;;;;;1
11111521;08/01/2014;1;201401;2014;Lovely Duplex Fireplace UES;Manhattan;Apartment;85;Entire home/apt;10075;2;1;5;240;87;;;;;;;;1
11131161;08/01/2014;1;201401;2014;Large Room in Prospect Heights;Brooklyn;Apartment;;Private room;11238;1;1;0;60;;;;;;;;;1
